Date,Open,High,Low,Close,Volume,Adj Close
2014-04-07,36.200001,37.540001,36.009998,37.18,3320500,37.18
2014-03-31,36.59,36.740002,35.630001,36.43,2894800,36.43
2014-03-24,36.139999,36.84,35.619999,36.619999,1971100,36.619999
2014-03-17,35.360001,36.139999,34.970001,35.84,2495100,35.84
2014-03-10,36.279999,36.419998,35.040001,35.529999,3836100,35.529999
2014-03-03,37.389999,37.740002,35.919998,36.779999,4513900,36.779999
2014-02-24,36.689999,37.110001,36.240002,36.740002,2824000,36.740002
2014-02-18,36.299999,37.049999,36.220001,36.689999,4115800,36.689999
2014-02-10,35.689999,36.16,35.540001,35.91,2674100,35.91
2014-02-03,34.799999,35.75,34.360001,35.639999,5415700,35.639999
2014-01-27,34.540001,35.18,34.00,34.799999,4602700,34.799999
2014-01-21,34.00,34.919998,33.740002,34.580002,4878600,34.580002
2014-01-13,33.00,33.860001,32.720001,33.689999,5740300,33.689999
2014-01-06,33.619999,33.73,32.68,33.189999,5077900,33.189999
2013-12-30,35.759998,35.830002,33.599998,33.75,7210000,33.75
2013-12-23,35.43,36.07,35.25,35.84,2461600,35.84
2013-12-16,34.900002,35.619999,34.830002,35.48,3999700,35.48
2013-12-09,35.099998,35.349998,34.57,34.639999,5857200,34.639999
2013-12-02,33.470001,35.169998,33.419998,35.049999,7094900,35.049999
2013-11-25,33.639999,33.919998,32.950001,33.459999,5051600,33.459999
2013-11-18,33.900002,34.32,33.48,34.040001,5139600,34.040001
2013-11-11,34.029999,34.360001,33.450001,33.880001,4865600,33.880001
2013-11-04,34.060001,34.369999,33.549999,34.009998,5921800,34.009998
2013-10-28,35.279999,35.610001,34.02,34.130001,5486100,34.130001
2013-10-21,36.23,36.310001,34.59,35.32,7406400,35.32
2013-10-14,36.66,37.18,36.130001,36.450001,5391400,36.450001
2013-10-07,36.790001,37.490002,36.419998,36.75,6404200,36.75
2013-09-30,36.48,37.59,36.400002,37.310001,6061100,37.310001
2013-09-23,37.330002,37.459999,36.82,36.959999,4745700,36.959999
2013-09-16,38.25,38.799999,37.619999,37.77,6634700,37.77
2013-09-09,39.240002,39.360001,38.029999,38.849998,6457700,38.849998
2013-09-03,38.25,39.540001,38.139999,39.360001,6764800,39.360001
2013-08-26,37.950001,39.459999,37.709999,38.48,10326400,38.48
2013-08-19,38.200001,38.43,36.990002,37.950001,5221600,37.950001
2013-08-12,37.400002,38.57,37.27,38.400002,4755400,38.400002
2013-08-05,37.66,38.049999,36.349998,37.59,6571900,37.59
2013-07-29,37.299999,38.41,36.50,37.939999,5498100,37.939999
2013-07-22,38.32,38.380001,36.939999,37.209999,5325700,37.209999
2013-07-15,37.369999,38.619999,37.360001,38.450001,4428500,38.450001
2013-07-08,36.290001,37.639999,36.220001,37.560001,6943000,37.560001
2013-07-01,34.610001,36.59,34.459999,36.560001,8225700,36.560001
2013-06-24,33.049999,34.580002,33.00,34.18,5481900,34.18
